total_likes,total_retweets,total_replies,username,profileUrl,followersCount,followingCount
84033,26102,2102,amaanbali,https://twitter.com/amaanbali,28254,1229
77099,21111,1455,RaviSinghKA,https://twitter.com/RaviSinghKA,227424,4042
58248,21640,993,saahilmenghani,https://twitter.com/saahilmenghani,85659,479
27888,6164,666,dhruv_rathee,https://twitter.com/dhruv_rathee,1025117,547
25133,11420,2369,rupikaur_,https://twitter.com/rupikaur_,268844,748
23296,8424,825,Monica_Gill1,https://twitter.com/Monica_Gill1,31753,465
21807,5256,1596,ndtv,https://twitter.com/ndtv,14787750,15
17325,3332,170,jedijasmin_,https://twitter.com/jedijasmin_,847,98
13334,6815,2663,ClaudiaWebbe,https://twitter.com/ClaudiaWebbe,41888,8967
12273,2208,122,avinashkalla,https://twitter.com/avinashkalla,9741,607
