username,profileUrl,followersCount,followingCount,total_mentions,total_likes,total_retweets
saahilmenghani,https://twitter.com/saahilmenghani,85659,479,993,58248,21640
rupikaur_,https://twitter.com/rupikaur_,268844,748,2369,25133,11420
ndtv,https://twitter.com/ndtv,14787750,15,1596,21807,5256
ClaudiaWebbe,https://twitter.com/ClaudiaWebbe,41888,8967,2663,13334,6815
avinashkalla,https://twitter.com/avinashkalla,9741,607,122,12273,2208
sushant_says,https://twitter.com/sushant_says,200177,2425,425,9780,2495
Profdilipmandal,https://twitter.com/Profdilipmandal,160068,8393,205,6939,2674
simran,https://twitter.com/simran,92579,3441,198,5655,2281
satishacharya,https://twitter.com/satishacharya,177233,1001,72,5570,986
realhimanshi,https://twitter.com/realhimanshi,501798,41,165,5512,1165
