total_likes,total_retweets,total_replies,username,profileUrl,followersCount,followingCount
17325,3332,170,jedijasmin_,https://twitter.com/jedijasmin_,847,98
12273,2208,122,avinashkalla,https://twitter.com/avinashkalla,9741,607
7222,1668,119,RaviSinghKA,https://twitter.com/RaviSinghKA,227424,4042
3829,3189,262,iMani_KaurRai,https://twitter.com/iMani_KaurRai,1992,2432
3446,1004,51,srivatsayb,https://twitter.com/srivatsayb,217071,5281
3198,1213,106,npunwani,https://twitter.com/npunwani,1643,351
2561,2877,77,ninabhullar1,https://twitter.com/ninabhullar1,1570,1206
2024,653,33,Punjab2000music,https://twitter.com/Punjab2000music,17926,4276
1671,500,138,_YogendraYadav,https://twitter.com/_YogendraYadav,1600584,159
1517,622,69,Monica_Gill1,https://twitter.com/Monica_Gill1,31753,465
