username,profileUrl,followersCount,followingCount,total_mentions,total_likes,total_retweets
avinashkalla,https://twitter.com/avinashkalla,9741,607,122,12273,2208
srivatsayb,https://twitter.com/srivatsayb,217071,5281,51,3446,1004
_YogendraYadav,https://twitter.com/_YogendraYadav,1600584,159,138,1671,500
rssurjewala,https://twitter.com/rssurjewala,1572993,131,102,1504,561
ambkcsingh,https://twitter.com/ambkcsingh,78774,662,118,1323,300
rupikaur_,https://twitter.com/rupikaur_,268844,748,33,1075,547
cjwerleman,https://twitter.com/cjwerleman,263265,3382,60,1027,462
saahilmenghani,https://twitter.com/saahilmenghani,85659,479,12,978,348
KhaledBeydoun,https://twitter.com/KhaledBeydoun,152837,1959,23,656,168
Sowmyareddyr,https://twitter.com/Sowmyareddyr,28147,2283,22,500,139
